# counter, batch_size, img_size, random_background, gpu_used, ii, end-start, accuracy
0.000000000000000000e+00,1.024000000000000000e+03,1.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.061093221467117615e+02,4.998185117967332047e+01
1.000000000000000000e+00,1.024000000000000000e+03,1.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.031856834682167658e+02,6.471869328493647799e+01
2.000000000000000000e+00,1.024000000000000000e+03,1.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.034724680768272265e+02,5.426497277676951114e+01
3.000000000000000000e+00,1.024000000000000000e+03,1.280000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.467695592366425217e+01,5.001814882032667953e+01
4.000000000000000000e+00,1.024000000000000000e+03,1.280000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.277178814140745544e+01,6.268602540834845627e+01
5.000000000000000000e+00,1.024000000000000000e+03,1.280000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,6.277985349985834773e+01,5.477313974591651657e+01
6.000000000000000000e+00,1.024000000000000000e+03,6.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.461670518041154310e+01,6.457350272232305599e+01
7.000000000000000000e+00,1.024000000000000000e+03,6.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.480960715980188525e+01,6.268602540834845627e+01
8.000000000000000000e+00,1.024000000000000000e+03,6.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,5.490121343896453254e+01,5.923774954627948830e+01
9.000000000000000000e+00,1.024000000000000000e+03,6.400000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.440080964197579760e+01,5.695099818511796741e+01
1.000000000000000000e+01,1.024000000000000000e+03,6.400000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.446907966371861676e+01,6.141560798548094624e+01
1.100000000000000000e+01,1.024000000000000000e+03,6.400000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,4.437681529445092110e+01,5.604355716878402660e+01
1.200000000000000000e+01,5.120000000000000000e+02,1.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.044726844819758753e+02,5.386569872958257577e+01
1.300000000000000000e+01,5.120000000000000000e+02,1.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.023611320651672258e+02,7.284936479128856490e+01
1.400000000000000000e+01,5.120000000000000000e+02,1.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.017914946632578221e+02,5.767695099818512006e+01
1.500000000000000000e+01,5.120000000000000000e+02,1.280000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.258466390642024635e+01,5.520871143375680390e+01
1.600000000000000000e+01,5.120000000000000000e+02,1.280000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.221899074646125882e+01,6.508166969147005432e+01
1.700000000000000000e+01,5.120000000000000000e+02,1.280000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,6.248353068072037786e+01,6.330308529945553886e+01
1.800000000000000000e+01,5.120000000000000000e+02,6.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.396770272622711673e+01,5.444646098003629930e+01
1.900000000000000000e+01,5.120000000000000000e+02,6.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.565980701029798183e+01,5.357531760435571755e+01
2.000000000000000000e+01,5.120000000000000000e+02,6.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,5.493363495796484131e+01,6.301270417422867354e+01
2.100000000000000000e+01,5.120000000000000000e+02,6.400000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.414627827517574588e+01,5.963702359346642368e+01
2.200000000000000000e+01,5.120000000000000000e+02,6.400000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.412461079499894367e+01,6.384754990925589624e+01
2.300000000000000000e+01,5.120000000000000000e+02,6.400000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,4.420967610907632661e+01,6.254083484573502716e+01
