# log_time, dog_time, doh_time, sbd_time
7.303480000700801611e-03,2.285047999976086430e-03,2.588250278000487015e+00,1.174584899854380637e-02
6.156086999908438884e-03,2.305784999407478608e-03,2.806679561001146794e+00,6.862039990664925426e-04
6.140933999631670304e-03,2.284772001075907610e-03,1.938571373999366187e+00,5.483959994307952002e-04
6.448187999922083691e-03,2.329862998522003181e-03,1.354483069999332656e+00,4.658199995901668444e-04
1.049984999917796813e-02,3.486110999801894650e-03,3.341660002999560675e+00,4.108529992663534358e-04
6.904551000843639486e-03,2.428883000902715139e-03,2.181456794000041555e+00,5.570829998760018498e-04
6.059436000214191154e-03,2.137966001100721769e-03,1.677060300999073661e+00,4.542449987638974562e-04
6.313534999208059162e-03,2.200786000685184263e-03,3.154613134000101127e+00,4.758800005220109597e-04
6.075470000723726116e-03,2.336727999136201106e-03,1.492214118999982020e+00,4.834999999729916453e-04
6.574430000910069793e-03,2.391354999417671934e-03,1.408877075000418699e+00,5.646410008921520784e-04
6.936522000614786521e-03,2.476511999702779576e-03,2.741361538999626646e+00,5.020139997213846073e-04
7.142934000512468629e-03,2.575005000835517421e-03,2.058923388000039267e+00,5.844040006195427850e-04
8.231949001128668897e-03,2.864250000129686669e-03,4.402223944000070333e+00,6.527839996124384925e-04
7.327882000026875176e-03,2.481081000951235183e-03,4.272849356000733678e+00,4.463850000320235267e-04
7.042766999802552164e-03,2.518180001061409712e-03,1.529128037000191398e+00,4.373080009827390313e-04
