# ,num_points,time_build_kd,time_query_kd,time_naive_nn
1.000000000000000000e+01,5.290665763726376254e-05,4.037972644186001983e-04,4.621652544571298502e-04
3.300000000000000000e+01,1.730559704651141693e-04,2.116266305490551152e-03,4.268713938139487470e-03
1.000000000000000000e+02,2.775039526393251882e-04,6.838270832935110233e-03,3.894885735272834298e-02
3.330000000000000000e+02,8.246611925911556673e-04,2.541840632859199145e-02,4.302028065787210642e-01
1.000000000000000000e+03,2.390698258654233577e-03,8.546780408016152464e-02,3.865981974872409577e+00
3.333000000000000000e+03,8.140457277361790034e-03,3.135671784845355248e-01,4.378148492262657498e+01
1.000000000000000000e+01,2.034346319490509813e-04,3.788799353401373082e-04,4.174505954210872005e-04
3.300000000000000000e+01,9.864531649839136662e-05,1.936725002799732920e-03,4.240724609580581728e-03
1.000000000000000000e+02,2.969599493169994275e-04,6.990505473623898069e-03,3.880106004461936209e-02
3.330000000000000000e+02,8.209065265631920738e-04,2.640759015977067747e-02,4.314466250331108199e-01
1.000000000000000000e+03,2.302292940406402977e-03,8.402157499365614512e-02,3.975014404264207712e+00
3.333000000000000000e+03,7.496702720565906475e-03,3.156052794700343611e-01,4.351012257960574914e+01
1.000000000000000000e+01,2.017279655746051503e-04,3.833172679179597253e-04,4.331519260745153588e-04
3.300000000000000000e+01,1.000106495894215186e-04,1.853439683685564887e-03,4.218879279974885321e-03
1.000000000000000000e+02,2.519039570074710355e-04,7.052628129684990199e-03,3.895397735185213151e-02
3.330000000000000000e+02,7.608318701386451721e-04,2.590992624470800365e-02,4.341342832410788333e-01
1.000000000000000000e+03,2.376020927826516527e-03,8.606240664533970630e-02,3.905081701532722604e+00
3.333000000000000000e+03,7.522985382749425298e-03,3.158571834270418321e-01,4.327330077469001424e+01
